pitcher,events,home_team,away_team,pitch_name,release_speed,launch_speed,launch_angle,hit_distance_sc,bb_type,release_pos_x,release_pos_y,zone,p_throws,balls,strikes,outs_when_up,inning
683769,single,LAD,CLE,4-Seam Fastball,95.9,95.4,18.0,288.0,line_drive,-2.73,53.88,3.0,R,0,1,1,8
571510,field_out,LAD,CLE,Sinker,93.4,99.5,29.0,393.0,fly_ball,2.4,54.47,2.0,L,1,2,0,1
656288,strikeout,LAA,LAD,Slider,87.8,,,,,-1.55,54.51,14.0,R,2,2,1,6
656288,field_out,LAA,LAD,Changeup,89.5,95.9,24.0,365.0,fly_ball,-1.62,54.67,13.0,R,2,2,2,3
519326,field_out,LAA,LAD,4-Seam Fastball,94.8,94.6,73.0,110.0,popup,-2.97,54.66,11.0,R,1,1,0,8
656288,field_out,LAA,LAD,4-Seam Fastball,94.5,102.1,70.0,149.0,popup,-1.62,54.59,1.0,R,0,0,0,1
672282,strikeout,LAA,LAD,4-Seam Fastball,94.8,,,,,1.59,54.03,1.0,L,3,2,1,5
672282,triple,LAA,LAD,Curveball,74.7,112.7,12.0,200.0,line_drive,1.06,54.38,5.0,L,1,2,1,3
650671,strikeout,LAA,LAD,4-Seam Fastball,95.6,,,,,2.43,54.16,11.0,L,1,2,0,8
672282,field_out,LAA,LAD,4-Seam Fastball,95.3,83.9,-10.0,16.0,ground_ball,1.44,53.95,1.0,L,2,2,0,1
593958,walk,AZ,LAD,Sinker,92.3,,,,,1.34,53.81,7.0,L,3,0,2,4
593958,field_out,AZ,LAD,Slider,84.1,96.5,-11.0,12.0,ground_ball,1.27,53.89,4.0,L,2,2,0,3
656756,single,AZ,LAD,Sinker,92.0,99.6,14.0,219.0,line_drive,1.55,53.77,14.0,L,1,0,1,7
677944,walk,AZ,LAD,Curveball,78.3,,,,,-1.92,53.96,14.0,R,3,2,2,8
623149,strikeout,AZ,LAD,Sweeper,84.1,,,,,-3.76,54.12,13.0,R,2,2,2,9
593958,single,AZ,LAD,Sinker,91.8,117.2,11.0,250.0,line_drive,1.3,54.07,6.0,L,2,1,0,1
694297,field_out,AZ,LAD,Sweeper,86.1,91.7,69.0,161.0,popup,-3.38,53.98,5.0,R,0,0,0,5
694297,strikeout,AZ,LAD,4-Seam Fastball,95.2,,,,,-2.89,53.81,12.0,R,2,2,0,3
573009,strikeout,AZ,LAD,Sinker,88.9,,,,,3.33,54.0,7.0,L,3,2,2,6
694297,strikeout,AZ,LAD,Changeup,87.9,,,,,-3.26,53.88,13.0,R,0,2,0,1
518876,field_out,AZ,LAD,Changeup,89.0,94.0,-14.0,8.0,ground_ball,-1.93,54.52,8.0,R,2,2,0,4
518876,sac_fly,AZ,LAD,Cutter,92.5,89.7,32.0,330.0,fly_ball,-1.85,54.44,6.0,R,0,1,0,2
640462,strikeout,AZ,LAD,Sinker,94.0,,,,,3.26,53.2,8.0,L,3,2,0,8
679885,field_out,AZ,LAD,Split-Finger,91.2,113.5,13.0,281.0,line_drive,-2.46,54.14,5.0,R,3,2,2,9
518876,home_run,AZ,LAD,Curveball,84.7,108.9,35.0,420.0,fly_ball,-1.78,54.47,5.0,R,3,2,0,1
573009,field_out,AZ,LAD,Sinker,88.3,107.7,-5.0,21.0,ground_ball,3.31,54.28,9.0,L,0,2,1,6
668678,strikeout,AZ,LAD,Knuckle Curve,81.0,,,,,-2.96,54.02,8.0,R,3,2,0,4
668678,hit_by_pitch,AZ,LAD,4-Seam Fastball,94.6,,,,,-2.64,53.88,12.0,R,0,0,0,2
623149,home_run,AZ,LAD,4-Seam Fastball,93.0,99.0,32.0,380.0,fly_ball,-3.64,54.15,5.0,R,0,2,2,8
573009,strikeout,AZ,LAD,Curveball,78.6,,,,,3.27,54.07,14.0,L,2,2,2,6
668678,double,AZ,LAD,4-Seam Fastball,94.3,114.0,15.0,300.0,line_drive,-2.93,54.38,5.0,R,0,0,0,1
700249,field_out,LAD,BAL,Sweeper,79.6,85.8,39.0,293.0,fly_ball,1.76,54.3,13.0,L,1,0,0,4
700249,strikeout,LAD,BAL,Sinker,91.2,,,,,1.75,54.21,4.0,L,0,2,2,2
621199,field_out,LAD,BAL,Cutter,90.6,104.7,39.0,348.0,fly_ball,-4.01,54.05,1.0,R,2,0,0,8
642397,field_out,LAD,BAL,Sinker,94.0,101.2,53.0,263.0,fly_ball,2.11,54.03,2.0,L,3,1,0,6
700249,field_out,LAD,BAL,Sweeper,82.2,104.6,19.0,375.0,line_drive,2.1,54.29,4.0,L,1,2,0,1
669203,force_out,LAD,BAL,Cutter,93.7,108.0,6.0,118.0,line_drive,-0.83,54.07,9.0,R,2,2,0,5
669203,single,LAD,BAL,Changeup,89.2,99.9,13.0,198.0,line_drive,-0.91,53.96,7.0,R,2,2,1,3
642397,strikeout,LAD,BAL,Sinker,96.2,,,,,1.79,53.91,4.0,L,1,2,2,7
669203,home_run,LAD,BAL,Slider,87.4,102.2,33.0,391.0,fly_ball,-0.81,54.13,4.0,R,1,2,0,1
608344,field_out,LAD,BAL,Curveball,78.7,84.3,76.0,42.0,popup,1.3,54.37,5.0,L,1,0,0,5
608344,single,LAD,BAL,Sinker,92.2,99.4,-12.0,10.0,ground_ball,1.0,54.29,6.0,L,0,0,2,3
672335,strikeout,LAD,BAL,Sinker,95.3,,,,,1.17,54.73,1.0,L,2,2,0,8
608344,single,LAD,BAL,Sinker,90.1,85.9,23.0,281.0,line_drive,1.17,54.25,12.0,L,0,0,0,1
682052,field_out,LAD,TB,4-Seam Fastball,90.6,107.2,14.0,310.0,line_drive,3.43,53.47,5.0,L,0,1,2,5
682052,strikeout,LAD,TB,Slider,78.6,,,,,3.52,54.07,13.0,L,0,2,2,3
663992,hit_by_pitch,LAD,TB,Sinker,91.8,,,,,2.38,53.29,12.0,L,2,1,0,8
682052,field_out,LAD,TB,4-Seam Fastball,91.0,97.9,33.0,360.0,fly_ball,3.32,53.53,4.0,L,0,0,0,1
